Table,Field ID,Field Name,Type,Options / Details
Transactions,fld6O2FgIXQU5G27o,MLS Number,singleLineText,
Transactions,fldypnfnHhplWYcCW,Address,singleLineText,
Transactions,fldV2eLxz6w0TpLFU,Property Status,singleSelect,"OCCUPIED, VACANT"
Transactions,fldhHjBZJISmnP8SK,Sale Price,currency,
Transactions,fldExdgBDgdB1i9jy,Winterized,singleSelect,"YES, NO"
Transactions,fldw3GlfvKtyNfIAW,Update MLS,singleSelect,"YES, NO"
Transactions,fldTvXx96Na0zRh6W,Sellers Assist,currency,
Transactions,fldE8INzEorBtx2uN,Total Commission %,number,
Transactions,flduuQQT7o6XAGlRe,Listing Agent %,number,
Transactions,fld5KRrToAAt5kOLd,Buyers Agent %,number,
Transactions,flddRltdGj05Clzpa,Broker Fee,currency,
Transactions,fldzVtmn8uylVxuTF,Referral Party,singleLineText,
Transactions,fldewmjoaJVwiMF46,Referral Fee,number,
Transactions,fldDWN8jU4kdCffzu,Special Instructions,richText,
Transactions,fldgW16aPdFMdspO6,Urgent Issues,richText,
Transactions,fld30htJ7euVerCLW,Additional Information,richText,
Transactions,fldFD4xHD0vxnSOHJ,Agent Name,singleLineText,
Transactions,fld20VbKbWzdR4Sp7,Broker EIN,singleLineText,
Transactions,fldOVyoxz38rWwAFy,Agent Role,singleSelect,"BUYERS AGENT, LISTING AGENT, DUAL AGENT"
Transactions,fldPskG7IicSFkkmr,HOA,singleLineText,
Transactions,fld91HWzc7vyc6ph1,Municipality,singleLineText,
Transactions,fldXg0P2KNDvXIzbP,First Right of Refusal,singleLineText,
Transactions,fldHHZ4qSPeFfE7Tz,Attorney,singleLineText,
Transactions,fldf0J6LaZvCFKqR1,Warranty Company,singleLineText,
Transactions,fldgZE8sqNGcAcwzf,Warranty Cost,currency,
Transactions,fldWL7b87nLpIiRsF,Warranty Paid By,singleLineText,
Transactions,fld8aq0jkVwoVgDdk,Title Company,singleLineText,
Transactions,fld7k2jDptx205EVq,Property Access Type,singleSelect,"ELECTRONIC LOCKBOX, COMBO LOCKBOX, KEYPAD, APPOINTMENT ONLY"
Transactions,fldcI0RMQC6zU42uo,Lockbox Access Code,singleLineText,
Clients,fldSqxNOZ9B5PgSab,Client Name,singleLineText,
Clients,flddP6a8EG6qTJdIi,Client Email,email,
Clients,fldBnh8W6iGW014yY,Client Phone,phoneNumber,
Clients,fldz1IpeR1256LhuC,Client Address,singleLineText,
Clients,fldSY6vbE1zAhJZqd,Client Type,singleSelect,"BUYER, SELLER"
Clients,fldeK6mjSfxELU0MD,Marital Status,singleSelect,"SINGLE, MARRIED, DIVORCED, DIVORCE IN PROGRESS, WIDOWED"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
